これ,this one,pointers
それ,that one,pointers
あれ,that one (over there),pointers
どれ,which one,pointers
この,this ...,pointers
その,that ...,pointers
あの,that ... (over there),pointers
どの,which ...,pointers
あそこ,over there,pointers
どこ,where,pointers
だれ,who,pointers
おいしい,delicious,food
さかな,fish,food
とんかつ,pork cutlet,food
にく,meat,food
メニュー,menu,food
やさい,vegetable,food
えんぴつ,pencil,things
かさ,umbrella,things
かばん,bag,things
くつ,shoes,things
さいふ,wallet,things
ジーンズ,jeans,things
じしょ,dictionary,things
じてんしゃ,bicycle,things
しんぶん,newspaper,things
テープ,tape,things
とけい,watch; clock,things
トレーナー,sweat shirt,things
ノート,notebook,things
ペン,pen,things
ぼうし,hat; cap,things
ほん,book,things
おてあらい,restroom,places
きっさてん,cafe,places
ぎんこう,bank,places
としょかん,library,places
ゆうびんきょく,post office,places
けいざい,economics,money
いくら,how much,money
〜えん,...yen,money
たかい,expensive,money
いらっしゃいませ,Welcome (to our store),store
（〜を）おねがいします,...please,,store
（〜を）ください,Please give me...,store
じゃあ,then...; if that is the case...,store
（〜を）どうぞ,Here it is,store
どうも,Thank you,store
